"family","Count","MonthYear","Temp","Year","Month","Precip"
"CANTHARIDAE",0,"1.1992",2.4,1992,1,34
"CANTHARIDAE",0,"2.1992",3.5,1992,2,38
"CANTHARIDAE",0,"3.1992",4.7,1992,3,56
"CANTHARIDAE",0,"4.1992",7.1,1992,4,54
"CANTHARIDAE",0,"5.1992",13.8,1992,5,18
"CANTHARIDAE",3,"6.1992",18.5,1992,6,1
"CANTHARIDAE",2,"7.1992",19.1,1992,7,51
"CANTHARIDAE",0,"8.1992",17.7,1992,8,104
"CANTHARIDAE",0,"9.1992",13.7,1992,9,37
"CANTHARIDAE",0,"10.1992",7.1,1992,10,67
"CANTHARIDAE",0,"11.1992",4.6,1992,11,96
"CANTHARIDAE",0,"12.1992",2.9,1992,12,42
"CANTHARIDAE",0,"1.1993",2.1,1993,1,74
"CANTHARIDAE",0,"2.1993",1.6,1993,2,27
"CANTHARIDAE",0,"3.1993",3.4,1993,3,16
"CANTHARIDAE",0,"4.1993",8.3,1993,4,15
"CANTHARIDAE",2,"5.1993",14.2,1993,5,23
"CANTHARIDAE",2,"6.1993",15.2,1993,6,34
"CANTHARIDAE",3,"7.1993",15.8,1993,7,114
"CANTHARIDAE",0,"8.1993",15.2,1993,8,64
"CANTHARIDAE",0,"9.1993",11.7,1993,9,95
"CANTHARIDAE",0,"10.1993",8.1,1993,10,66
"CANTHARIDAE",0,"11.1993",1.9,1993,11,40
"CANTHARIDAE",0,"12.1993",2.9,1993,12,91
"CANTHARIDAE",0,"1.1994",2.9,1994,1,84
"CANTHARIDAE",0,"2.1994",-0.9,1994,2,46
"CANTHARIDAE",0,"3.1994",3.8,1994,3,79
"CANTHARIDAE",0,"4.1994",8.3,1994,4,41
"CANTHARIDAE",3,"5.1994",11.7,1994,5,30
"CANTHARIDAE",2,"6.1994",14.5,1994,6,61
"CANTHARIDAE",10,"7.1994",20.6,1994,7,4
"CANTHARIDAE",0,"8.1994",18.3,1994,8,84
"CANTHARIDAE",0,"9.1994",13.7,1994,9,143
"CANTHARIDAE",0,"10.1994",8.5,1994,10,48
"CANTHARIDAE",0,"11.1994",6,1994,11,49
"CANTHARIDAE",0,"12.1994",4.4,1994,12,95
"CANTHARIDAE",0,"1.1995",0.6,1995,1,84
"CANTHARIDAE",0,"2.1995",4,1995,2,68
"CANTHARIDAE",0,"3.1995",3.5,1995,3,37
"CANTHARIDAE",0,"4.1995",7,1995,4,53
"CANTHARIDAE",2,"5.1995",11.3,1995,5,53
"CANTHARIDAE",15,"6.1995",15.4,1995,6,53
"CANTHARIDAE",96,"7.1995",18.7,1995,7,40
"CANTHARIDAE",4,"8.1995",19.3,1995,8,24
"CANTHARIDAE",0,"9.1995",13.9,1995,9,89
"CANTHARIDAE",0,"10.1995",12.2,1995,10,40
"CANTHARIDAE",0,"11.1995",3,1995,11,42
"CANTHARIDAE",0,"12.1995",-1.4,1995,12,22
"CANTHARIDAE",0,"1.1996",-1.6,1996,1,7
"CANTHARIDAE",0,"2.1996",-2.7,1996,2,28
"CANTHARIDAE",0,"3.1996",0.3,1996,3,13
"CANTHARIDAE",0,"4.1996",7.6,1996,4,18
"CANTHARIDAE",0,"5.1996",9.8,1996,5,90
"CANTHARIDAE",2,"6.1996",15,1996,6,36
"CANTHARIDAE",11,"7.1996",15.9,1996,7,57
"CANTHARIDAE",2,"8.1996",18.7,1996,8,43
"CANTHARIDAE",0,"9.1996",12.3,1996,9,55
"CANTHARIDAE",0,"10.1996",10.3,1996,10,42
"CANTHARIDAE",0,"11.1996",4.9,1996,11,69
"CANTHARIDAE",0,"12.1996",-0.5,1996,12,28
"CANTHARIDAE",0,"1.1997",-1.2,1997,1,5
"CANTHARIDAE",0,"2.1997",3.2,1997,2,61
"CANTHARIDAE",0,"3.1997",4.1,1997,3,20
"CANTHARIDAE",0,"4.1997",6.3,1997,4,30
"CANTHARIDAE",3,"5.1997",10.8,1997,5,73
"CANTHARIDAE",1,"6.1997",16.2,1997,6,51
"CANTHARIDAE",18,"7.1997",18.7,1997,7,55
"CANTHARIDAE",2,"8.1997",20.6,1997,8,25
"CANTHARIDAE",0,"9.1997",14.8,1997,9,41
"CANTHARIDAE",0,"10.1997",8.4,1997,10,69
"CANTHARIDAE",0,"11.1997",3.9,1997,11,44
"CANTHARIDAE",0,"12.1997",2.7,1997,12,52
"CANTHARIDAE",0,"1.1998",2.9,1998,1,49
"CANTHARIDAE",0,"2.1998",5.1,1998,2,51
"CANTHARIDAE",0,"3.1998",3.7,1998,3,48
"CANTHARIDAE",0,"4.1998",7.7,1998,4,60
"CANTHARIDAE",5,"5.1998",13,1998,5,33
"CANTHARIDAE",5,"6.1998",15.4,1998,6,85
"CANTHARIDAE",6,"7.1998",15.9,1998,7,97
"CANTHARIDAE",0,"8.1998",15.7,1998,8,58
"CANTHARIDAE",0,"9.1998",14.3,1998,9,70
"CANTHARIDAE",0,"10.1998",9.3,1998,10,118
"CANTHARIDAE",0,"11.1998",1.5,1998,11,43
"CANTHARIDAE",0,"12.1998",1.2,1998,12,59
