"family","Count","MonthYear","Temp","Year","Month","Precip"
"BATRACHEDRIDAE",0,"1.1992",2.4,1992,1,34
"BATRACHEDRIDAE",0,"2.1992",3.5,1992,2,38
"BATRACHEDRIDAE",0,"3.1992",4.7,1992,3,56
"BATRACHEDRIDAE",0,"4.1992",7.1,1992,4,54
"BATRACHEDRIDAE",0,"5.1992",13.8,1992,5,18
"BATRACHEDRIDAE",0,"6.1992",18.5,1992,6,1
"BATRACHEDRIDAE",17,"7.1992",19.1,1992,7,51
"BATRACHEDRIDAE",4,"8.1992",17.7,1992,8,104
"BATRACHEDRIDAE",1,"9.1992",13.7,1992,9,37
"BATRACHEDRIDAE",0,"10.1992",7.1,1992,10,67
"BATRACHEDRIDAE",0,"11.1992",4.6,1992,11,96
"BATRACHEDRIDAE",0,"12.1992",2.9,1992,12,42
"BATRACHEDRIDAE",0,"1.1993",2.1,1993,1,74
"BATRACHEDRIDAE",0,"2.1993",1.6,1993,2,27
"BATRACHEDRIDAE",0,"3.1993",3.4,1993,3,16
"BATRACHEDRIDAE",0,"4.1993",8.3,1993,4,15
"BATRACHEDRIDAE",0,"5.1993",14.2,1993,5,23
"BATRACHEDRIDAE",2,"6.1993",15.2,1993,6,34
"BATRACHEDRIDAE",0,"7.1993",15.8,1993,7,114
"BATRACHEDRIDAE",2,"8.1993",15.2,1993,8,64
"BATRACHEDRIDAE",1,"9.1993",11.7,1993,9,95
"BATRACHEDRIDAE",0,"10.1993",8.1,1993,10,66
"BATRACHEDRIDAE",0,"11.1993",1.9,1993,11,40
"BATRACHEDRIDAE",0,"12.1993",2.9,1993,12,91
"BATRACHEDRIDAE",0,"1.1994",2.9,1994,1,84
"BATRACHEDRIDAE",0,"2.1994",-0.9,1994,2,46
"BATRACHEDRIDAE",0,"3.1994",3.8,1994,3,79
"BATRACHEDRIDAE",0,"4.1994",8.3,1994,4,41
"BATRACHEDRIDAE",0,"5.1994",11.7,1994,5,30
"BATRACHEDRIDAE",0,"6.1994",14.5,1994,6,61
"BATRACHEDRIDAE",39,"7.1994",20.6,1994,7,4
"BATRACHEDRIDAE",36,"8.1994",18.3,1994,8,84
"BATRACHEDRIDAE",0,"9.1994",13.7,1994,9,143
"BATRACHEDRIDAE",0,"10.1994",8.5,1994,10,48
"BATRACHEDRIDAE",0,"11.1994",6,1994,11,49
"BATRACHEDRIDAE",0,"12.1994",4.4,1994,12,95
"BATRACHEDRIDAE",0,"1.1995",0.6,1995,1,84
"BATRACHEDRIDAE",0,"2.1995",4,1995,2,68
"BATRACHEDRIDAE",0,"3.1995",3.5,1995,3,37
"BATRACHEDRIDAE",0,"4.1995",7,1995,4,53
"BATRACHEDRIDAE",0,"5.1995",11.3,1995,5,53
"BATRACHEDRIDAE",0,"6.1995",15.4,1995,6,53
"BATRACHEDRIDAE",20,"7.1995",18.7,1995,7,40
"BATRACHEDRIDAE",75,"8.1995",19.3,1995,8,24
"BATRACHEDRIDAE",1,"9.1995",13.9,1995,9,89
"BATRACHEDRIDAE",0,"10.1995",12.2,1995,10,40
"BATRACHEDRIDAE",0,"11.1995",3,1995,11,42
"BATRACHEDRIDAE",0,"12.1995",-1.4,1995,12,22
"BATRACHEDRIDAE",0,"1.1996",-1.6,1996,1,7
"BATRACHEDRIDAE",0,"2.1996",-2.7,1996,2,28
"BATRACHEDRIDAE",0,"3.1996",0.3,1996,3,13
"BATRACHEDRIDAE",0,"4.1996",7.6,1996,4,18
"BATRACHEDRIDAE",0,"5.1996",9.8,1996,5,90
"BATRACHEDRIDAE",0,"6.1996",15,1996,6,36
"BATRACHEDRIDAE",14,"7.1996",15.9,1996,7,57
"BATRACHEDRIDAE",21,"8.1996",18.7,1996,8,43
"BATRACHEDRIDAE",1,"9.1996",12.3,1996,9,55
"BATRACHEDRIDAE",0,"10.1996",10.3,1996,10,42
"BATRACHEDRIDAE",0,"11.1996",4.9,1996,11,69
"BATRACHEDRIDAE",0,"12.1996",-0.5,1996,12,28
"BATRACHEDRIDAE",0,"1.1997",-1.2,1997,1,5
"BATRACHEDRIDAE",0,"2.1997",3.2,1997,2,61
"BATRACHEDRIDAE",0,"3.1997",4.1,1997,3,20
"BATRACHEDRIDAE",0,"4.1997",6.3,1997,4,30
"BATRACHEDRIDAE",0,"5.1997",10.8,1997,5,73
"BATRACHEDRIDAE",0,"6.1997",16.2,1997,6,51
"BATRACHEDRIDAE",11,"7.1997",18.7,1997,7,55
"BATRACHEDRIDAE",18,"8.1997",20.6,1997,8,25
"BATRACHEDRIDAE",0,"9.1997",14.8,1997,9,41
"BATRACHEDRIDAE",0,"10.1997",8.4,1997,10,69
"BATRACHEDRIDAE",0,"11.1997",3.9,1997,11,44
"BATRACHEDRIDAE",0,"12.1997",2.7,1997,12,52
"BATRACHEDRIDAE",0,"1.1998",2.9,1998,1,49
"BATRACHEDRIDAE",0,"2.1998",5.1,1998,2,51
"BATRACHEDRIDAE",0,"3.1998",3.7,1998,3,48
"BATRACHEDRIDAE",0,"4.1998",7.7,1998,4,60
"BATRACHEDRIDAE",0,"5.1998",13,1998,5,33
"BATRACHEDRIDAE",0,"6.1998",15.4,1998,6,85
"BATRACHEDRIDAE",7,"7.1998",15.9,1998,7,97
"BATRACHEDRIDAE",12,"8.1998",15.7,1998,8,58
"BATRACHEDRIDAE",2,"9.1998",14.3,1998,9,70
"BATRACHEDRIDAE",0,"10.1998",9.3,1998,10,118
"BATRACHEDRIDAE",0,"11.1998",1.5,1998,11,43
"BATRACHEDRIDAE",0,"12.1998",1.2,1998,12,59
"BATRACHEDRIDAE",0,"1.1999",2.2,1999,1,64
"BATRACHEDRIDAE",0,"2.1999",1,1999,2,48
"BATRACHEDRIDAE",0,"3.1999",4.1,1999,3,45
"BATRACHEDRIDAE",0,"4.1999",8.4,1999,4,52
"BATRACHEDRIDAE",0,"5.1999",11.6,1999,5,57
"BATRACHEDRIDAE",2,"6.1999",15.7,1999,6,106
"BATRACHEDRIDAE",7,"7.1999",19,1999,7,40
"BATRACHEDRIDAE",13,"8.1999",17.7,1999,8,109
"BATRACHEDRIDAE",0,"9.1999",16.8,1999,9,51
